,video_id,width,height,duration
299,H3Z_1Y3iri8,320,240,356.705
300,sTDeKi6d86A,640,360,356.845
301,yLl8PH1q08k,294,240,356.845
302,tzyEd1BZtUw,1280,720,357.031
303,h7ot4xjXm4I,1280,720,357.077
304,ZE_QAquP1sU,400,720,357.147
305,-JPqlAqfxKA,854,480,357.167
306,OVS2cdYj650,640,360,357.192
307,UX0qYAw6xRc,854,480,357.356
308,jcNTzpY-aQ4,854,480,357.448
309,Q8LV_VQLfpM,1280,720,357.472
310,HqnmWyhB-PU,1280,720,357.495
311,tJiYZje9fbo,1920,1080,357.588
312,jrVoYLO7zEc,1920,1080,358.772
313,Wb72ue2qVPE,640,360,359.004
314,rE2QybBy9Ss,640,360,359.143
315,k3bd2YWEjrg,640,480,359.445
316,_OE1wGDdr4Q,1280,720,359.561
317,u1s2v6GJdek,704,480,359.585
318,y2pe04QBEjQ,854,480,359.770
319,yBQIj8qgFvk,490,360,359.910
320,ROMinwCsi4w,1280,720,359.979
321,2nB-lRNt7VU,1280,720,360.049
322,m8y_Y4dk48E,1280,720,360.212
323,LEe58KF5dBg,1920,1080,360.258
324,65hX_8YUtKE,1280,720,360.328
325,PRpCDnXyHpE,320,240,360.374
326,LQbyz4izFl4,1920,1080,360.444
327,vGqRsuD_IQk,854,480,360.514
328,XM9uwdz0VCI,626,360,360.560
329,mF9FMqceqEg,1280,720,360.676
330,nJyUGurX_EU,640,360,360.978
331,S4YduEL-K4o,640,360,360.978
332,HD5aJO22o1g,1280,720,361.071
333,ZBCfBIa3LOk,320,240,361.140
334,HY3qfQv_EPc,854,480,361.419
335,fctJwDwXp44,1280,720,361.558
336,nU8gcB2WxSI,854,426,361.930
337,zLhRbGJ8vE4,1280,720,362.185
338,0Y9orGeDB7Q,1920,1080,362.434
339,bqYCIfcAcNw,320,240,362.487
340,Qpfw2liDqAk,854,470,362.673
341,vIP44pR3dHk,1920,1080,362.905
342,IqPdQHoslIk,1920,1080,362.928
343,3Jp5DeRBEYg,1920,1080,363.021
344,wOxeHyodJqw,420,320,363.100
345,kyGIABIXBFE,1280,720,363.230
346,a8WeaGRUzw0,1280,720,363.300
347,FvYfe7hTBO0,1280,720,363.323
348,Yof5FB1dpMY,640,342,363.439
349,vvNyLEAWohY,640,480,363.555
350,OZo_wMlE1AM,1280,720,363.857
351,ixSUwYsWDd8,1920,1080,363.880
352,ow3R040Tnvc,480,360,364.298
353,MPQkcFB9lPA,1920,1080,364.484
354,LRVEetNHlXg,1280,720,364.531
355,jypBloQnEtk,1280,720,364.763
356,CxakNFnAIl8,1920,1080,364.856
357,eylbk0eBwt8,494,360,365.296
358,J6WonMWFwNE,1920,1080,365.390
359,LwnVqWSur1E,1280,720,365.459
360,mB1RhJUCbPM,1920,1080,365.552
361,qMwfPWxr2lA,320,240,365.573
362,Hgs1FCxGIv4,1280,720,365.800
363,q2iNRa1UkRo,320,240,365.947
364,q4lx9F12txM,1920,1080,365.993
365,fInD7vhJgnQ,984,720,366.063
366,lIcL9afvwyI,1920,1080,366.133
367,rl8bXLII6BE,480,360,366.481
368,OEJu2ZMCXaM,854,480,366.853
369,ZjqBF__ITJ4,640,480,367.015
370,5nXB4XmcVOw,1920,1080,367.224
