video_id,frame_rate,batch_size,min_face_size,max_frame_size,width,height,video_length,detection_length
3zbCMOTMYQ0,3.0,256,20,,640,480,511.9,80.63100099563599
4D6X_wWx_6k,3.0,92,20,,1280,720,574.4666666666667,226.39216923713684
76ZWlmpU8NI,3.0,94,20,,1280,720,681.9,319.1491816043854
86MUrGTNpFk,3.0,84,20,,1280,720,743.0,399.6084294319153
8iTclIv-iZs,3.0,92,20,,1280,720,779.2,211.31617951393127
8p_NgUrcOYo,3.0,374,20,,640,360,3292.9666666666667,561.9176292419434
9NpqcrW4FoY,3.0,46,20,,1920,1080,3292.0666666666666,1436.1865673065186
9VyuDAUC0YE,3.0,34,20,,1920,1080,1599.0666666666666,1802.6845834255219
aivXESc5jrs,3.0,210,20,,854,480,969.0,435.15803837776184
aOmSvH-5Gck,3.0,34,20,,1920,1080,767.4666666666667,468.00425720214844
AsiQkIOSLj0,3.0,36,20,,1920,1080,536.9333333333333,480.5051863193512
b0bLPsJ6PNs,3.0,78,20,,1280,720,573.3666666666667,204.01546907424927
B6OM-wAB3cM,3.0,34,20,,1920,1080,1829.3333333333333,1174.382390499115
B6WLFKUZcl8,3.0,38,20,,1920,1080,1317.3,1142.0553567409515
b85zz8XkVO4,3.0,348,20,,386,720,2539.0666666666666,411.3593394756317
bA1AXnTw0xA,3.0,40,20,,1920,1080,1894.1333333333334,1353.8334033489227
bP6op_zC_Lc,3.0,320,20,,640,480,1620.6666666666667,640.4732782840729
c0hOSSRf92w,3.0,34,20,,1920,1080,1483.9333333333334,983.2776930332184
C52lC_56SBI,3.0,40,20,,1920,1080,1561.1333333333334,764.4798469543457
CCQptiAh_VY,3.0,46,20,,1920,1080,3103.0666666666666,3173.8160955905914
CKgNteI4pdM,3.0,34,20,,1920,1080,485.53333333333336,317.7115955352783
CLyIotg0mpY,3.0,62,20,,1920,810,415.7,170.6221935749054
cWt2WHYt-g4,3.0,34,20,,1920,1080,3188.9666666666667,1507.9112374782562
