,video_length,time_detecting,width,height,fps
128,1256.4666666666667,475.5833833217621,1280,720,30
129,2636.3,716.0081164836884,854,480,30
130,536.2666666666667,85.55343842506409,640,360,30
131,363.1,57.316904067993164,420,320,30
132,665.3666666666667,512.1174535751343,1920,1080,30
133,816.7333333333333,570.7939453125,1920,1080,30
134,1004.8333333333334,771.527996301651,1920,1080,30
135,423.3,138.32307052612305,854,480,30
136,943.6333333333333,390.82688546180725,1280,720,30
137,406.4,20.157538414001465,320,240,30
138,990.4333333333333,810.593496799469,1920,1080,30
139,1415.6,571.1220991611481,1280,720,30
140,3171.366666666667,2881.209150314331,1920,1080,30
141,336.4,176.9667239189148,1280,720,30
142,1972.0,1122.2722918987274,1280,720,30
143,754.7333333333333,450.93803119659424,1280,720,30
144,1756.0,958.9799046516418,1280,718,30
145,810.6,247.19083070755005,658,480,30
146,920.2333333333333,352.6833441257477,1280,720,30
147,1911.7,208.57853841781616,640,360,30
148,603.6,471.9269700050354,1280,720,30
149,442.3,62.707923412323,490,360,30
150,482.4,229.6139497756958,1920,1080,15
151,536.5666666666667,120.74376940727234,854,480,15
152,1332.0,96.38239884376526,470,360,15
153,691.8,239.26850271224976,1280,720,15
154,1211.8,327.6188910007477,1280,720,15
155,750.9666666666667,269.97397017478943,1280,720,15
156,812.4,225.32980227470398,1280,720,15
157,737.4,402.9215772151947,1920,1080,15
158,511.9,57.58267593383789,640,480,15
159,3170.1666666666665,903.0260510444641,1280,720,15
160,574.4666666666667,209.21918940544128,1280,720,15
161,614.2666666666667,171.2475392818451,1280,720,15
162,377.8,67.6770703792572,854,480,15
163,1423.2333333333333,421.34485507011414,1280,720,15
164,949.8333333333334,316.31477665901184,1280,720,15
165,681.9,242.4873719215393,1280,720,15
166,1373.4,937.6344811916351,1920,1080,15
167,1261.9666666666667,677.505152463913,1920,1080,15
168,743.0,299.6480116844177,1280,720,15
169,687.0333333333333,248.73889636993408,1280,720,15
170,779.2,244.70641922950745,1280,720,15
171,3292.9666666666667,364.43422627449036,640,360,15
172,711.8,179.59191250801086,1280,720,15
173,707.2,183.88913583755493,1280,720,15
174,3292.0666666666666,1812.2609870433807,1920,1080,15
175,1599.0666666666666,1169.3399152755737,1920,1080,15
176,969.0,258.3323621749878,854,480,15
177,1111.5666666666666,350.0894846916199,1280,720,15
178,1277.6,155.6682209968567,640,360,15
179,2508.133333333333,241.14352941513062,640,360,15
180,767.4666666666667,463.8169960975647,1920,1080,15
181,536.9333333333333,406.07802534103394,1920,1080,15
182,573.3666666666667,159.62163424491882,1280,720,15
183,1829.3333333333333,978.5812056064606,1920,1080,15
184,1317.3,739.2442650794983,1920,1080,15
185,2539.0666666666666,467.77030539512634,386,720,15
186,1894.1333333333334,1100.44131731987,1920,1080,15
187,1620.6666666666667,290.50667905807495,640,480,15
188,560.9666666666667,140.15138506889343,1280,720,15
189,1483.9333333333334,724.4462554454803,1920,1080,15
190,2147.4666666666667,133.51021480560303,426,240,15
191,1561.1333333333334,681.7867283821106,1920,1080,15
192,3103.0666666666666,2128.6165845394135,1920,1080,15
193,485.53333333333336,194.4836859703064,1920,1080,15
194,575.1333333333333,64.3486876487732,854,480,15
195,415.7,141.91714715957642,1920,810,15
196,3188.9666666666667,1892.6922221183777,1920,1080,15
197,708.9333333333333,203.56234216690063,1280,720,15
198,519.0333333333333,114.68068075180054,1280,720,15
199,621.3,65.84880685806274,640,480,15
200,3165.233333333333,959.95396733284,1280,720,15
201,1984.0,564.8092560768127,1280,720,15
202,332.56666666666666,127.25976991653442,1920,1080,15
203,487.76666666666665,155.13691353797913,1280,720,15
204,3504.7,1143.8534603118896,1280,720,15
205,632.9,293.9444463253021,1920,1080,15
206,698.6,53.00407266616821,490,360,15
207,980.5666666666667,240.06531023979187,1280,720,15
208,1404.6,78.72477436065674,320,240,15
209,962.0333333333333,296.28837394714355,1280,720,15
210,919.6666666666666,93.77283954620361,640,352,15
211,480.4,139.10442900657654,1280,720,15
212,946.4333333333333,35.877740144729614,320,240,15
