,video_id,width,height,area,duration
1007,61i074tqTAY,1280,720,921600,1037.932
1008,628kT32oKPg,854,476,406504,1156.888
1009,641dW4_-46A,1280,720,921600,492.38
1010,64yQCiQ0IBY,352,240,84480,602.419
1011,653w0TTIc1c,1920,1080,2073600,2779.429
1012,65ANQ1nESP8,1280,720,921600,771.391
1013,65hX_8YUtKE,1280,720,921600,360.328
1014,65r9D_tRWzg,1280,720,921600,2804.785
1015,66f27Vf0kuc,1280,720,921600,1138.707
1016,67jo_I-fS2c,334,240,80160,3367.451
1017,67KQHOnB_hQ,640,480,307200,1523.137
1018,67UGBHVqBBE,1920,1080,2073600,1080.402
1019,67XQfs6CbAA,490,360,176400,688.75
1020,67ZOFuja3ec,1280,720,921600,578.665
1021,687GPiBOzVk,3840,2160,8294400,678.186
1022,68jnBgl89bU,1920,1080,2073600,1747.975
1023,68o-RC2U1Ms,1280,720,921600,898.032
1024,69GYZrRLIXY,694,480,333120,619.068
1025,6a98Sa1wSlA,640,480,307200,1581.535
1026,6AjQgSbpfbA,854,480,409920,708.813
1027,6Amclhb4Mhw,640,360,230400,820.292
1028,6ArL3CCm2CQ,1920,1080,2073600,891.043
1029,6aSrLVrDUK0,1920,1080,2073600,814.208
1030,6ax28Z3Qcs4,854,480,409920,550.778
1031,6AxWzXNByxo,640,352,225280,472.991
1032,6BcqP3HmxCs,316,240,75840,477.426
1033,6bGt53J3LAw,1280,720,921600,1836.722
1034,6cDaU021ROA,1920,1080,2073600,384.244
1035,6ClxtBZ-Udg,1280,720,921600,613.332
1036,6d2a2QYyK5I,1920,1080,2073600,932.189
1037,6d7Mn8jA4YA,1280,720,921600,1344.25
1038,6d8d8w6K800,1920,1080,2073600,3195.693
1039,6DqCDrDeM80,1280,720,921600,954.062
1040,6dtqNbLFRJ0,854,480,409920,408.277
1041,6dug-ycA1U0,1280,720,921600,2681.812
1042,6e7ClHU8PN4,1920,1080,2073600,1036.888
1043,6EzasGDlTRI,648,480,311040,1363.964
1044,6Fg2lA3BRjQ,1920,1080,2073600,2646.123
1045,6FjxtV7nNdY,1280,720,921600,496.42
1046,6G8UH1w1qlo,640,352,225280,522.055
1047,6GfNXqTZeEU,1280,720,921600,1222.438
1048,6ggdBezRWYA,1280,720,921600,1249.072
1049,6g_ic8DBZDk,1920,1080,2073600,535.824
1050,6HAu2eU2QQI,1280,720,921600,1622.982
1051,6Hbg-wiVmEU,1280,720,921600,1060.363
1052,6HdtH646JHQ,1280,720,921600,675.423
1053,6HjpCrxa7Ag,1280,720,921600,549.942
1054,6HNntdJ0hDY,480,360,172800,3448.675
1055,6hWBh8fPAAQ,1280,720,921600,1049.078
1056,6h_vvKCwtPQ,1280,720,921600,484.044
1057,6I9hYlI-JME,640,360,230400,2081.553
1058,6iAnj4qplBk,640,360,230400,1047.058
1059,6IHmb0kl_6c,1920,1080,2073600,370.661
1060,6iJqsHsahTA,1280,720,921600,589.671
1061,6INPlSIJkmk,1280,720,921600,868.938
1062,6ir6QBspQII,640,352,225280,674.958
1063,6ISOgoV4moI,640,480,307200,3171.196
1064,6IVkKdD5AdM,1280,720,921600,542.558
1065,6iXGElj1IJA,1280,720,921600,623.085
1066,6j2R4LkAV7w,1280,720,921600,372.449
1067,6kdGlIadcZM,1280,720,921600,3440.664
1068,6kka9FvJyfY,316,240,75840,699.06
1069,6kkX4fGkA-o,1920,1080,2073600,1031.593
1070,6KPm-EycPQg,640,360,230400,1269.9
1071,6kqTQFuPW3g,1920,1080,2073600,848.527
1072,6kqYaqtCNfw,1920,1080,2073600,679.95
1073,6kR0M0phoJA,1920,1080,2073600,2616.053
1074,6KsnirVKqMg,1280,720,921600,468.37
1075,6ku5zg5qMI0,1920,1080,2073600,746.058
1076,6Kw4umzgdRQ,1280,720,921600,1318.313
1077,6KzYYltva00,1280,720,921600,795.609
1078,6lJNo6ihk6I,1280,720,921600,1606.055
1079,6M86MH47s_o,1280,720,921600,529.044
1080,6mfT1sglCuc,1280,720,921600,870.052
1081,6mrPOEnABvo,1280,720,921600,780.075
1082,6NHD5zZNUzs,640,360,230400,725.601
1083,6nK6pLe-FVM,480,360,172800,662.396
1084,6NMbSLzySTs,1920,1080,2073600,3454.805
1085,6NqQDsWqv34,1920,1080,2073600,590.112
1086,6ntemyNJRQI,1280,720,921600,2153.094
1087,6NyDnsfChjo,1920,1080,2073600,1778.533
1088,6OVquM0eous,1280,720,921600,350.413
1089,6pm2q5w7zaY,1280,720,921600,431.195
1090,6PO2WgpySws,1920,1080,2073600,617.837
1091,6pOwrraX86c,1920,1080,2073600,2551.177
1092,6PtBpskih6c,1920,1080,2073600,811.445
1093,6qDDU3Orz6A,1280,720,921600,430.545
1094,6QdvF2FFREg,1280,720,921600,1397.331
1095,6QFSX4GI1YM,1920,1080,2073600,2092.792
1096,6QgH9V3qC7M,640,360,230400,816.368
1097,6qjPhYA-kS0,1280,720,921600,422.232
1098,6QocqlSMQxw,1280,720,921600,482.581
1099,6qpYmpRiOFY,1280,720,921600,1718.068
1100,6R41X95HEsA,640,480,307200,443.85
1101,6RF1K1KHoDs,1280,720,921600,1256.223
1102,6Rkg6qwsEjM,640,480,307200,1205.975
1103,6rS8JSjjyZY,1920,1080,2073600,659.749
1104,6rYad7J0T58,420,320,134400,734.978333
1105,6r_jmvNdzQ8,1920,1080,2073600,1430.164
1106,6sIOwReVge8,1920,1080,2073600,726.39
1107,6SJCakyTXVY,1920,1080,2073600,2116.476
1108,6SPUTWIV9rQ,640,480,307200,373.447
1109,6SYlM3Vulw0,854,480,409920,1643.416
1110,6u3v1C0PVOI,1920,1080,2073600,488.13
1111,6U95s2vn9Wo,640,360,230400,1352.911
1112,6UdpihvXsGE,1920,1080,2073600,612.938
1113,6uI4mboy4YE,1920,1080,2073600,2903.424
1114,6umCZ9AsDOw,620,360,223200,775.64
